date,home,away,score,tier,result
1990-12-01,Maidstone United,Peterborough United,2-0,4,H
1990-12-01,Torquay United,Hartlepool United,0-1,4,A
1990-12-08,Manchester United,Leeds United,1-1,1,D
1990-12-22,Hereford United,Scunthorpe United,2-0,4,H
1990-12-22,Maidstone United,Torquay United,2-2,4,D
1990-12-29,Scunthorpe United,Carlisle United,2-0,4,H
1991-01-01,Hereford United,Torquay United,0-0,4,D
1991-01-12,Carlisle United,Peterborough United,3-2,4,H
1991-01-26,Carlisle United,Hereford United,0-1,4,A
1991-01-26,Scunthorpe United,Maidstone United,2-2,4,D
1991-02-02,Scunthorpe United,Torquay United,3-0,4,H
1991-02-05,Hartlepool United,Carlisle United,4-1,4,H
1991-02-23,Hereford United,Maidstone United,4-0,4,H
1991-02-26,Sheffield United,Manchester United,2-1,1,H
1991-02-26,Scunthorpe United,Hartlepool United,2-1,4,H
1991-03-01,Southend United,Rotherham United,2-1,3,H
1991-03-02,Hartlepool United,Torquay United,0-0,4,D
1991-03-02,Peterborough United,Maidstone United,2-0,4,H
1991-03-13,Oxford United,West Ham United,2-1,2,H
1991-03-15,Torquay United,Peterborough United,0-0,4,D
1991-03-23,Maidstone United,Hartlepool United,1-4,4,A
1991-04-01,Scunthorpe United,Hereford United,3-0,4,H
1991-04-02,Torquay United,Maidstone United,1-1,4,D
1991-04-06,Carlisle United,Scunthorpe United,0-3,4,A
1991-04-09,Hartlepool United,Scunthorpe United,2-0,4,H
1991-04-10,Newcastle United,Oxford United,2-2,2,D
1991-04-13,Torquay United,Hereford United,1-1,4,D
1991-04-23,Peterborough United,Scunthorpe United,0-0,4,D
1991-04-24,West Ham United,Newcastle United,1-1,2,D
1991-04-27,Peterborough United,Hartlepool United,1-1,4,D
1991-04-30,Southend United,Cambridge United,0-0,3,D
1991-05-01,Maidstone United,Carlisle United,0-0,4,D
1991-05-04,Rotherham United,Cambridge United,3-2,3,H
1991-05-04,Carlisle United,Torquay United,3-1,4,H
1991-05-04,Hereford United,Hartlepool United,1-3,4,A
1991-05-07,Peterborough United,Hereford United,3-0,4,H
1991-05-08,Leeds United,Sheffield United,2-1,1,H
1991-08-17,Torquay United,Hartlepool United,3-1,3,H
1991-08-20,Sheffield United,West Ham United,1-1,1,D
1991-08-31,Manchester United,Leeds United,1-1,1,D
1991-09-03,Cambridge United,Southend United,0-1,2,A
1991-09-03,Carlisle United,Rotherham United,1-3,4,A
1991-09-07,Rotherham United,Hereford United,0-0,4,D
1991-09-07,Scunthorpe United,Maidstone United,2-0,4,H
1991-09-21,Rotherham United,Maidstone United,3-3,4,D
1991-10-05,Leeds United,Sheffield United,4-3,1,H
1991-10-05,Scunthorpe United,Hereford United,1-1,4,D
1991-10-12,Carlisle United,Scunthorpe United,0-0,4,D
1991-10-19,Newcastle United,Oxford United,4-3,2,H
1991-10-26,Peterborough United,Hartlepool United,3-2,3,H
1991-10-30,Southend United,Oxford United,2-3,2,A
1991-11-02,Manchester United,Sheffield United,2-0,1,H
1991-11-02,Maidstone United,Hereford United,3-2,4,H
1991-11-06,Newcastle United,Cambridge United,1-1,2,D
1991-11-09,Scunthorpe United,Rotherham United,1-0,4,H
1991-11-20,Newcastle United,Southend United,3-2,2,H
1991-11-23,Manchester United,West Ham United,2-1,1,H
1991-11-23,Carlisle United,Hereford United,1-0,4,H
1991-11-30,Peterborough United,Torquay United,1-1,3,D
1991-11-30,Carlisle United,Maidstone United,3-0,4,H
1991-11-30,Cambridge United,Oxford United,1-1,2,D
1991-12-21,West Ham United,Sheffield United,1-1,1,D
1991-12-22,Southend United,Cambridge United,1-1,2,D
1991-12-26,Oxford United,Southend United,0-1,2,A
1991-12-28,Hartlepool United,Torquay United,1-1,3,D
1991-12-29,Leeds United,Manchester United,1-1,1,D
1992-01-01,West Ham United,Leeds United,1-3,1,A
1992-01-01,Southend United,Newcastle United,4-0,2,H
1992-01-01,Rotherham United,Carlisle United,1-0,4,H
1992-02-01,Oxford United,Newcastle United,5-2,2,H
1992-02-08,Hartlepool United,Peterborough United,0-1,3,A
1992-02-12,Maidstone United,Carlisle United,5-1,4,H
1992-02-22,Oxford United,Cambridge United,1-0,2,H
1992-03-10,Cambridge United,Newcastle United,0-2,2,A
1992-03-14,Sheffield United,Manchester United,1-2,1,A
1992-03-14,Hereford United,Maidstone United,2-2,4,D
1992-03-21,Rotherham United,Scunthorpe United,5-0,4,H
1992-03-28,Leeds United,West Ham United,0-0,1,D
1992-03-28,Hereford United,Carlisle United,1-0,4,H
1992-04-04,Hereford United,Rotherham United,1-0,4,H
1992-04-04,Maidstone United,Scunthorpe United,0-1,4,A
1992-04-18,Maidstone United,Rotherham United,0-0,4,D
1992-04-22,West Ham United,Manchester United,1-0,1,H
1992-04-25,Hereford United,Scunthorpe United,1-2,4,A
1992-04-26,Sheffield United,Leeds United,2-3,1,A
1992-04-28,Torquay United,Peterborough United,2-2,3,D
1992-05-02,Scunthorpe United,Carlisle United,4-0,4,H
1992-08-15,Sheffield United,Manchester United,2-1,1,H
1992-08-15,Newcastle United,Southend United,3-2,2,H
1992-08-22,Southend United,Peterborough United,0-1,2,A
1992-08-22,Rotherham United,Hartlepool United,0-0,3,D
1992-08-29,Newcastle United,West Ham United,2-0,2,H
1992-09-06,Manchester United,Leeds United,2-0,1,H
1992-09-12,Peterborough United,West Ham United,1-3,2,A
1992-09-15,Oxford United,Cambridge United,3-0,2,H
1992-09-26,Peterborough United,Newcastle United,0-1,2,A
1992-09-26,Carlisle United,Scunthorpe United,0-2,4,A
1992-10-17,Leeds United,Sheffield United,3-1,1,H
1992-10-17,Hereford United,Torquay United,3-1,4,H
1992-10-24,Scunthorpe United,Colchester United,3-1,4,H
1992-10-24,Torquay United,Carlisle United,0-2,4,A
1992-10-25,Southend United,Cambridge United,1-1,2,D
1992-10-31,Cambridge United,West Ham United,2-1,2,H
1992-11-03,Colchester United,Carlisle United,2-1,4,H
1992-11-07,Southend United,Oxford United,0-3,2,A
1992-11-21,West Ham United,Oxford United,5-3,2,H
1992-11-21,Torquay United,Scunthorpe United,0-1,4,A
1992-11-28,Newcastle United,Cambridge United,4-1,2,H
1992-11-28,Hereford United,Colchester United,3-1,4,H
1992-12-11,Colchester United,Torquay United,2-0,4,H
1992-12-12,West Ham United,Southend United,2-0,2,H
1992-12-12,Scunthorpe United,Hereford United,3-1,4,H
1992-12-28,Oxford United,Newcastle United,4-2,2,H
1993-01-16,Newcastle United,Peterborough United,3-0,2,H
1993-01-16,Scunthorpe United,Carlisle United,0-0,4,D
1993-01-20,Southend United,Newcastle United,1-1,2,D
1993-01-23,Cambridge United,Oxford United,2-2,2,D
1993-01-30,Peterborough United,Southend United,1-0,2,H
1993-01-30,Hartlepool United,Rotherham United,0-2,3,A
1993-02-06,Manchester United,Sheffield United,2-1,1,H
1993-02-08,Leeds United,Manchester United,0-0,1,D
1993-02-09,West Ham United,Peterborough United,2-1,2,H
1993-02-21,West Ham United,Newcastle United,0-0,2,D
1993-03-13,Oxford United,Southend United,0-1,2,A
1993-03-16,Cambridge United,Peterborough United,2-2,2,D
1993-03-20,Peterborough United,Oxford United,1-1,2,D
1993-03-20,Carlisle United,Colchester United,0-2,4,A
1993-03-23,Oxford United,West Ham United,1-0,2,H
1993-03-23,Colchester United,Hereford United,3-1,4,H
1993-03-27,Scunthorpe United,Torquay United,2-2,4,D
1993-04-03,Cambridge United,Newcastle United,0-3,2,A
1993-04-06,Hereford United,Scunthorpe United,2-2,4,D
1993-04-06,Torquay United,Colchester United,2-2,4,D
1993-04-06,Sheffield United,Leeds United,2-1,1,H
1993-04-07,Southend United,West Ham United,1-0,2,H
1993-04-10,Peterborough United,Cambridge United,1-0,2,H
1993-04-12,Hereford United,Carlisle United,1-0,4,H
1993-04-17,Carlisle United,Hereford United,0-0,4,D
1993-04-20,Oxford United,Peterborough United,2-1,2,H
1993-04-24,Torquay United,Hereford United,0-0,4,D
1993-05-01,Cambridge United,Southend United,3-1,2,H
1993-05-01,Carlisle United,Torquay United,0-1,4,A
1993-05-01,Colchester United,Scunthorpe United,1-0,4,H
1993-05-06,Newcastle United,Oxford United,2-1,2,H
1993-05-08,West Ham United,Cambridge United,2-0,2,H
1993-08-17,Leeds United,West Ham United,1-0,1,H
1993-08-18,Manchester United,Sheffield United,3-0,1,H
1993-08-21,Manchester United,Newcastle United,1-1,1,D
1993-08-28,Southend United,Peterborough United,3-0,2,H
1993-08-31,Torquay United,Carlisle United,1-1,4,D
1993-09-01,Manchester United,West Ham United,3-0,1,H
1993-09-04,Scunthorpe United,Hereford United,1-2,4,A
1993-09-04,Torquay United,Colchester United,3-3,4,D
1993-09-11,Cambridge United,Rotherham United,0-1,3,A
1993-09-18,Leeds United,Sheffield United,2-1,1,H
1993-09-18,Peterborough United,Oxford United,3-1,2,H
1993-09-18,Scunthorpe United,Carlisle United,2-1,4,H
1993-09-25,Newcastle United,West Ham United,2-0,1,H
1993-10-09,Colchester United,Scunthorpe United,2-1,4,H
1993-10-16,Southend United,Oxford United,6-1,2,H
1993-10-16,Cambridge United,Hartlepool United,1-0,3,H
1993-10-16,Hereford United,Colchester United,5-0,4,H
1993-10-23,Torquay United,Scunthorpe United,1-1,4,D
1993-11-20,Torquay United,Hereford United,1-1,4,D
1993-11-24,Newcastle United,Sheffield United,4-0,1,H
1993-11-27,Colchester United,Carlisle United,2-1,4,H
1993-12-07,Sheffield United,Manchester United,0-3,1,A
1993-12-08,West Ham United,Leeds United,0-1,1,A
1993-12-11,Newcastle United,Manchester United,1-1,1,D
1993-12-22,Newcastle United,Leeds United,1-1,1,D
1994-01-01,Manchester United,Leeds United,0-0,1,D
1994-01-01,Hartlepool United,Rotherham United,2-0,3,H
1994-01-01,Hereford United,Carlisle United,0-0,4,D
1994-01-03,West Ham United,Sheffield United,0-0,1,D
1994-01-03,Carlisle United,Torquay United,1-1,4,D
1994-01-15,Oxford United,Southend United,2-1,2,H
1994-01-15,Hartlepool United,Cambridge United,0-2,3,A
1994-01-15,Colchester United,Hereford United,1-0,4,H
1994-01-22,Scunthorpe United,Colchester United,1-1,4,D
1994-02-05,Scunthorpe United,Torquay United,1-3,4,A
1994-02-26,West Ham United,Manchester United,2-2,1,D
1994-02-26,Colchester United,Torquay United,1-2,4,A
1994-03-05,Peterborough United,Southend United,3-1,2,H
1994-03-05,Rotherham United,Cambridge United,3-0,3,H
1994-03-12,Oxford United,Peterborough United,1-2,2,A
1994-03-12,Carlisle United,Scunthorpe United,3-1,4,H
1994-03-13,Sheffield United,Leeds United,2-2,1,D
1994-03-19,West Ham United,Newcastle United,2-4,1,A
1994-03-28,Sheffield United,West Ham United,3-2,1,H
1994-03-29,Hereford United,Scunthorpe United,1-2,4,A
1994-04-01,Leeds United,Newcastle United,1-1,1,D
1994-04-09,Rotherham United,Hartlepool United,7-0,3,H
1994-04-09,Carlisle United,Hereford United,1-2,4,A
1994-04-27,Leeds United,Manchester United,0-2,1,A
1994-04-30,Sheffield United,Newcastle United,2-0,1,H
1994-04-30,Hereford United,Torquay United,2-2,4,D
1994-05-07,Carlisle United,Colchester United,2-0,4,H
1994-08-13,Colchester United,Torquay United,1-3,4,A
1994-08-20,West Ham United,Leeds United,0-0,1,D
1994-08-20,Torquay United,Carlisle United,1-1,4,D
1994-08-27,Oxford United,Cambridge United,1-0,3,H
1994-08-31,West Ham United,Newcastle United,1-3,1,A
1994-09-03,Cambridge United,Rotherham United,2-1,3,H
1994-09-03,Scunthorpe United,Carlisle United,2-3,4,A
1994-09-10,Colchester United,Hartlepool United,1-0,4,H
1994-09-11,Leeds United,Manchester United,2-1,1,H
1994-09-13,Hereford United,Torquay United,1-1,4,D
1994-09-17,Torquay United,Colchester United,3-3,4,D
1994-09-24,Peterborough United,Rotherham United,2-2,3,D
1994-10-01,Hereford United,Scunthorpe United,2-1,4,H
1994-10-15,Manchester United,West Ham United,1-0,1,H
1994-10-15,Carlisle United,Colchester United,0-0,4,D
1994-10-29,Manchester United,Newcastle United,2-0,1,H
1994-10-29,Scunthorpe United,Hartlepool United,0-0,4,D
1994-11-05,Torquay United,Scunthorpe United,1-1,4,D
1994-11-19,Oxford United,Rotherham United,2-1,3,H
1994-11-19,Hereford United,Carlisle United,0-1,4,A
1994-11-26,Sheffield United,Southend United,2-0,2,H
1994-11-26,Colchester United,Scunthorpe United,4-2,4,H
1994-12-10,Leeds United,West Ham United,2-2,1,D
1994-12-10,Carlisle United,Torquay United,1-0,4,H
1994-12-26,Peterborough United,Oxford United,1-4,3,A
1994-12-26,Hartlepool United,Carlisle United,1-5,4,A
1994-12-26,Leeds United,Newcastle United,0-0,1,D
1994-12-27,Torquay United,Hartlepool United,2-2,4,D
1994-12-31,Peterborough United,Cambridge United,2-2,3,D
1994-12-31,Colchester United,Hereford United,2-2,4,D
1995-01-15,Newcastle United,Manchester United,1-1,1,D
1995-01-21,Scunthorpe United,Torquay United,3-2,4,H
1995-01-28,Hartlepool United,Scunthorpe United,1-4,4,A
1995-02-04,Scunthorpe United,Colchester United,3-4,4,A
1995-02-11,Carlisle United,Hereford United,1-0,4,H
1995-02-18,Southend United,Sheffield United,1-3,2,A
1995-02-21,Rotherham United,Oxford United,1-1,3,D
1995-02-21,Hereford United,Hartlepool United,1-0,4,H
1995-02-25,Scunthorpe United,Hereford United,1-0,4,H
1995-03-04,Rotherham United,Peterborough United,0-0,3,D
1995-03-07,Rotherham United,Cambridge United,1-0,3,H
1995-03-08,Newcastle United,West Ham United,2-0,1,H
1995-03-11,Cambridge United,Oxford United,1-2,3,A
1995-03-11,Hartlepool United,Colchester United,3-1,4,H
1995-03-25,Carlisle United,Scunthorpe United,2-1,4,H
1995-04-01,Torquay United,Hereford United,0-1,4,A
1995-04-02,Manchester United,Leeds United,0-0,1,D
1995-04-08,Cambridge United,Peterborough United,2-0,3,H
1995-04-08,Hereford United,Colchester United,3-0,4,H
1995-04-15,Hartlepool United,Torquay United,1-1,4,D
1995-04-17,Newcastle United,Leeds United,1-2,1,A
1995-04-17,Oxford United,Peterborough United,1-0,3,H
1995-04-17,Carlisle United,Hartlepool United,0-1,4,A
1995-04-22,Hartlepool United,Hereford United,4-0,4,H
1995-04-29,Colchester United,Carlisle United,0-1,4,A
1995-05-14,West Ham United,Manchester United,1-1,1,D
1995-08-12,Scunthorpe United,Cambridge United,1-2,4,A
1995-08-19,West Ham United,Leeds United,1-2,1,A
1995-08-19,Cambridge United,Hereford United,2-2,4,D
1995-08-23,Manchester United,West Ham United,2-1,1,H
1995-08-26,Oxford United,Rotherham United,1-1,3,D
1995-08-29,Rotherham United,Carlisle United,2-2,3,D
1995-08-29,Cambridge United,Colchester United,3-1,4,H
1995-09-12,Carlisle United,Peterborough United,1-1,3,D
1995-09-12,Hartlepool United,Torquay United,2-2,4,D
1995-09-16,Oxford United,Carlisle United,4-0,3,H
1995-09-23,Colchester United,Hereford United,2-0,4,H
1995-09-30,Rotherham United,Peterborough United,5-1,3,H
1995-09-30,Cambridge United,Hartlepool United,0-1,4,A
1995-09-30,Scunthorpe United,Colchester United,1-0,4,H
1995-10-07,Colchester United,Hartlepool United,4-1,4,H
1995-10-07,Hereford United,Torquay United,2-1,4,H
1995-10-14,Southend United,Sheffield United,2-1,2,H
1995-10-14,Hartlepool United,Scunthorpe United,2-0,4,H
1995-10-28,Torquay United,Scunthorpe United,1-8,4,A
1995-11-18,Peterborough United,Oxford United,1-1,3,D
1995-11-25,Newcastle United,Leeds United,2-1,1,H
1995-11-25,Cambridge United,Torquay United,1-1,4,D
1995-12-09,Hereford United,Colchester United,1-1,4,D
1995-12-16,Peterborough United,Rotherham United,1-0,3,H
1995-12-16,Colchester United,Scunthorpe United,2-1,4,H
1995-12-16,Hartlepool United,Cambridge United,1-2,4,A
1995-12-19,Hereford United,Scunthorpe United,3-0,4,H
1995-12-24,Leeds United,Manchester United,3-1,1,H
1995-12-27,Manchester United,Newcastle United,2-0,1,H
1996-01-01,Torquay United,Colchester United,2-3,4,A
1996-01-13,Leeds United,West Ham United,2-0,1,H
1996-01-13,Hereford United,Cambridge United,5-2,4,H
1996-01-20,Cambridge United,Scunthorpe United,1-2,4,A
1996-01-23,West Ham United,Manchester United,0-1,1,A
1996-02-03,Rotherham United,Oxford United,1-0,3,H
1996-02-17,Peterborough United,Carlisle United,6-1,3,H
1996-02-17,Torquay United,Hartlepool United,0-0,4,D
1996-02-21,West Ham United,Newcastle United,2-0,1,H
1996-02-24,Carlisle United,Oxford United,1-2,3,A
1996-03-04,Newcastle United,Manchester United,0-1,1,A
1996-03-05,Hartlepool United,Hereford United,0-1,4,A
1996-03-09,Scunthorpe United,Hereford United,0-1,4,A
1996-03-18,Newcastle United,West Ham United,3-0,1,H
1996-03-19,Colchester United,Cambridge United,2-1,4,H
1996-03-23,Colchester United,Torquay United,3-1,4,H
1996-03-26,Carlisle United,Rotherham United,2-0,3,H
1996-03-30,Hartlepool United,Colchester United,2-1,4,H
1996-03-30,Torquay United,Hereford United,1-1,4,D
1996-04-02,Sheffield United,Southend United,3-0,2,H
1996-04-02,Scunthorpe United,Hartlepool United,2-1,4,H
1996-04-06,Scunthorpe United,Torquay United,1-0,4,H
1996-04-17,Manchester United,Leeds United,1-0,1,H
1996-04-27,Torquay United,Cambridge United,0-3,4,A
1996-04-29,Leeds United,Newcastle United,0-1,1,A
1996-04-30,Hereford United,Hartlepool United,4-1,4,H
1996-05-04,Oxford United,Peterborough United,4-0,3,H
1996-08-17,Colchester United,Hartlepool United,0-2,4,A
1996-08-24,Oxford United,Southend United,5-0,2,H
1996-08-24,Scunthorpe United,Torquay United,1-0,4,H
1996-08-31,Colchester United,Hereford United,1-1,4,D
1996-09-07,Leeds United,Manchester United,0-4,1,A
1996-09-07,Cambridge United,Torquay United,2-1,4,H
1996-09-07,Hereford United,Hartlepool United,0-1,4,A
1996-09-10,Hartlepool United,Carlisle United,1-2,4,A
1996-09-10,Scunthorpe United,Cambridge United,3-2,4,H
1996-09-21,Leeds United,Newcastle United,0-1,1,A
1996-09-28,Torquay United,Carlisle United,1-2,4,A
1996-10-01,Southend United,Sheffield United,3-2,2,H
1996-10-01,Carlisle United,Colchester United,3-0,4,H
1996-10-01,Hereford United,Scunthorpe United,3-2,4,H
1996-10-05,Cambridge United,Hartlepool United,1-0,4,H
1996-10-12,Torquay United,Hereford United,2-1,4,H
1996-10-20,Newcastle United,Manchester United,5-0,1,H
1996-10-26,Rotherham United,Peterborough United,2-0,3,H
1996-10-29,Hereford United,Cambridge United,0-1,4,A
1996-11-09,Torquay United,Colchester United,0-2,4,A
1996-11-16,Newcastle United,West Ham United,1-1,1,D
1996-11-19,Carlisle United,Cambridge United,3-0,4,H
1996-11-19,Colchester United,Scunthorpe United,1-1,4,D
1996-11-23,Torquay United,Hartlepool United,0-1,4,A
1996-11-30,Peterborough United,Rotherham United,6-2,3,H
1996-12-03,Scunthorpe United,Hartlepool United,2-1,4,H
1996-12-08,West Ham United,Manchester United,2-2,1,D
1996-12-14,Oxford United,Sheffield United,4-1,2,H
1996-12-14,Hereford United,Carlisle United,2-3,4,A
1996-12-20,Colchester United,Cambridge United,2-2,4,D
1996-12-21,Carlisle United,Scunthorpe United,3-2,4,H
1996-12-26,Carlisle United,Hartlepool United,1-0,4,H
1996-12-28,Hartlepool United,Hereford United,2-1,4,H
1996-12-28,Torquay United,Cambridge United,0-1,4,A
1996-12-28,Manchester United,Leeds United,1-0,1,H
1997-01-01,Newcastle United,Leeds United,3-0,1,H
1997-01-18,Sheffield United,Southend United,3-0,2,H
1997-01-18,Colchester United,Carlisle United,1-1,4,D
1997-01-18,Scunthorpe United,Hereford United,5-1,4,H
1997-01-20,West Ham United,Leeds United,0-2,1,A
1997-01-25,Cambridge United,Hereford United,0-1,4,A
1997-01-31,Colchester United,Torquay United,2-0,4,H
1997-02-15,Hartlepool United,Torquay United,1-1,4,D
1997-02-21,Cambridge United,Carlisle United,1-3,4,A
1997-02-22,Scunthorpe United,Colchester United,2-1,4,H
1997-02-25,Cambridge United,Scunthorpe United,0-2,4,A
1997-03-01,Leeds United,West Ham United,1-0,1,H
1997-03-01,Hartlepool United,Scunthorpe United,0-1,4,A
1997-03-04,Carlisle United,Torquay United,5-1,4,H
1997-03-07,Cambridge United,Colchester United,1-0,4,H
1997-03-08,Scunthorpe United,Carlisle United,0-0,4,D
1997-03-15,Sheffield United,Oxford United,3-1,2,H
1997-03-15,Carlisle United,Hereford United,2-3,4,A
1997-03-22,Southend United,Oxford United,2-2,2,D
1997-03-22,Torquay United,Scunthorpe United,1-2,4,A
1997-03-29,Hartlepool United,Colchester United,1-0,4,H
1997-04-05,Hereford United,Colchester United,1-0,4,H
