date,home,away,score,tier,result
1934-11-10,Hartlepool United,Carlisle United,5-2,3,H
1934-11-17,West Ham United,Sheffield United,2-0,2,H
1935-01-05,Manchester United,Sheffield United,3-3,2,D
1935-01-26,Rotherham United,Carlisle United,4-1,3,H
1935-02-16,Torquay United,Southend United,2-0,3,H
1935-02-23,Newcastle United,West Ham United,3-0,2,H
1935-03-02,Manchester United,Newcastle United,0-1,2,A
1935-03-06,Hartlepool United,Rotherham United,3-1,3,H
1935-03-09,West Ham United,Manchester United,0-0,2,D
1935-03-23,Newcastle United,Sheffield United,4-1,2,H
1935-03-23,Carlisle United,Hartlepool United,2-2,3,D
1935-03-30,Sheffield United,West Ham United,1-2,2,A
1935-05-04,Rotherham United,Hartlepool United,0-1,3,A
1935-09-14,Newcastle United,Manchester United,0-2,2,A
1935-09-16,West Ham United,Sheffield United,3-2,2,H
1935-10-05,Carlisle United,Hartlepool United,0-0,3,D
1935-10-05,Torquay United,Southend United,1-1,3,D
1935-10-19,Manchester United,Sheffield United,3-1,2,H
1935-11-02,Newcastle United,West Ham United,3-3,2,D
1935-11-16,Manchester United,West Ham United,2-3,2,A
1935-11-23,Sheffield United,Newcastle United,5-1,2,H
1935-12-26,Rotherham United,Carlisle United,4-0,3,H
1936-01-01,Carlisle United,Rotherham United,1-1,3,D
1936-01-18,Manchester United,Newcastle United,3-1,2,H
1936-02-08,Hartlepool United,Carlisle United,1-1,3,D
1936-02-08,Southend United,Torquay United,2-1,3,H
1936-02-22,Sheffield United,Manchester United,1-1,2,D
1936-03-07,West Ham United,Manchester United,1-2,2,A
1936-03-21,West Ham United,Newcastle United,4-1,2,H
1936-03-28,Newcastle United,Sheffield United,3-0,2,H
1936-04-10,Hartlepool United,Rotherham United,5-1,3,H
1936-04-13,Rotherham United,Hartlepool United,3-0,3,H
1936-05-02,Sheffield United,West Ham United,4-2,2,H
1936-08-31,West Ham United,Newcastle United,0-2,2,A
1936-09-05,Sheffield United,Newcastle United,2-1,2,H
1936-09-09,Newcastle United,West Ham United,5-3,2,H
1936-09-14,Sheffield United,West Ham United,2-0,2,H
1936-10-24,Rotherham United,Carlisle United,0-1,3,A
1936-10-31,Hartlepool United,Rotherham United,0-2,3,A
1936-11-28,Leeds United,Manchester United,2-1,1,H
1937-01-02,Newcastle United,Sheffield United,4-0,2,H
1937-01-16,Torquay United,Southend United,1-4,3,A
1937-02-27,Carlisle United,Rotherham United,4-1,3,H
1937-03-06,Rotherham United,Hartlepool United,2-4,3,A
1937-03-26,Carlisle United,Hartlepool United,2-0,3,H
1937-03-29,Hartlepool United,Carlisle United,3-0,3,H
1937-04-03,Manchester United,Leeds United,0-0,1,D
1937-04-03,Southend United,Torquay United,0-0,3,D
1937-05-01,West Ham United,Sheffield United,1-0,2,H
1937-08-28,Manchester United,Newcastle United,3-0,2,H
1937-09-04,Newcastle United,Sheffield United,6-0,2,H
1937-09-13,Rotherham United,Carlisle United,0-1,3,A
1937-10-02,Manchester United,Sheffield United,0-1,2,A
1937-10-09,Southend United,Torquay United,5-1,3,H
1937-10-23,Rotherham United,Hartlepool United,3-1,3,H
1937-10-30,West Ham United,Newcastle United,1-0,2,H
1937-12-11,West Ham United,Sheffield United,0-2,2,A
1937-12-18,Carlisle United,Hartlepool United,3-1,3,H
1938-01-01,Newcastle United,Manchester United,2-2,2,D
1938-01-15,Sheffield United,Newcastle United,4-0,2,H
1938-02-17,Sheffield United,Manchester United,1-2,2,A
1938-02-19,Torquay United,Southend United,3-3,3,D
1938-02-23,Manchester United,West Ham United,4-0,2,H
1938-03-05,Hartlepool United,Rotherham United,4-0,3,H
1938-03-12,Newcastle United,West Ham United,2-2,2,D
1938-04-23,Sheffield United,West Ham United,3-1,2,H
1938-04-30,West Ham United,Manchester United,1-0,2,H
1938-04-30,Hartlepool United,Carlisle United,4-1,3,H
1938-05-07,Carlisle United,Rotherham United,0-1,3,A
1938-08-27,Carlisle United,Hartlepool United,2-0,3,H
1938-08-31,Southend United,Torquay United,1-1,3,D
1938-09-03,Sheffield United,Newcastle United,0-0,2,D
1938-09-24,Rotherham United,Hartlepool United,5-1,3,H
1938-10-08,Rotherham United,Carlisle United,4-0,3,H
1938-10-22,West Ham United,Newcastle United,1-1,2,D
1938-11-26,Sheffield United,West Ham United,3-1,2,H
1938-12-24,Hartlepool United,Carlisle United,2-1,3,H
1938-12-31,Newcastle United,Sheffield United,0-0,2,D
1939-01-28,Hartlepool United,Rotherham United,1-1,3,D
1939-02-11,Carlisle United,Rotherham United,3-1,3,H
1939-02-25,Newcastle United,West Ham United,2-0,2,H
1939-04-01,West Ham United,Sheffield United,0-0,2,D
1939-04-07,Manchester United,Leeds United,0-0,1,D
1939-04-10,Leeds United,Manchester United,3-1,1,H
1939-04-29,Torquay United,Southend United,2-0,3,H
1946-09-07,Leeds United,Sheffield United,2-2,1,D
1946-09-21,Torquay United,Southend United,0-1,3,A
1946-09-28,Hartlepool United,Rotherham United,2-1,3,H
1946-10-12,Sheffield United,Manchester United,2-2,1,D
1946-10-26,Carlisle United,Hartlepool United,5-1,3,H
1946-11-02,West Ham United,Newcastle United,0-2,2,A
1946-11-23,Carlisle United,Rotherham United,1-1,3,D
1947-01-04,Sheffield United,Leeds United,6-2,1,H
1947-01-25,Southend United,Torquay United,0-2,3,A
1947-02-01,Rotherham United,Hartlepool United,4-0,3,H
1947-03-01,Hartlepool United,Carlisle United,4-1,3,H
1947-03-29,Rotherham United,Carlisle United,4-0,3,H
1947-04-07,Manchester United,Leeds United,3-1,1,H
1947-04-08,Leeds United,Manchester United,0-2,1,A
1947-05-26,Manchester United,Sheffield United,6-2,1,H
1947-05-26,Newcastle United,West Ham United,2-3,2,A
1947-08-30,Hartlepool United,Rotherham United,2-2,3,D
1947-09-06,Carlisle United,Hartlepool United,1-1,3,D
1947-09-13,Manchester United,Sheffield United,0-1,1,A
1947-09-13,Rotherham United,Carlisle United,7-2,3,H
1947-09-20,Newcastle United,Leeds United,4-2,2,H
1947-10-11,Newcastle United,West Ham United,1-0,2,H
1947-10-18,Torquay United,Southend United,4-1,3,H
1947-12-06,Leeds United,West Ham United,2-1,2,H
1948-01-03,Rotherham United,Hartlepool United,3-2,3,H
1948-01-17,Hartlepool United,Carlisle United,1-1,3,D
1948-01-24,Leeds United,Newcastle United,3-1,2,H
1948-01-31,Sheffield United,Manchester United,2-1,1,H
1948-01-31,Carlisle United,Rotherham United,0-3,3,A
1948-02-28,West Ham United,Newcastle United,0-2,2,A
1948-03-06,Southend United,Torquay United,1-0,3,H
1948-04-24,West Ham United,Leeds United,2-1,2,H
1948-09-06,Rotherham United,Hartlepool United,2-1,3,H
1948-09-13,Hartlepool United,Rotherham United,1-4,3,A
1948-09-18,Sheffield United,Manchester United,2-2,1,D
1948-10-30,Torquay United,Southend United,0-3,3,A
1948-12-04,Manchester United,Newcastle United,1-1,1,D
1948-12-04,Carlisle United,Rotherham United,1-8,3,A
1948-12-11,Newcastle United,Sheffield United,3-2,1,H
1948-12-25,West Ham United,Leeds United,3-2,2,H
1948-12-27,Leeds United,West Ham United,1-3,2,A
1949-03-26,Southend United,Torquay United,1-1,3,D
1949-04-15,Hartlepool United,Carlisle United,1-0,3,H
1949-04-18,Carlisle United,Hartlepool United,0-0,3,D
1949-04-30,Newcastle United,Manchester United,0-1,1,A
1949-04-30,Rotherham United,Carlisle United,1-1,3,D
1949-05-04,Manchester United,Sheffield United,3-2,1,H
1949-05-07,Sheffield United,Newcastle United,0-0,1,D
1949-08-22,West Ham United,Leeds United,3-1,2,H
1949-08-31,Leeds United,West Ham United,2-2,2,D
1949-09-05,Sheffield United,Leeds United,0-1,2,A
1949-09-10,Sheffield United,West Ham United,0-0,2,D
1949-09-10,Carlisle United,Rotherham United,3-1,3,H
1949-09-14,Leeds United,Sheffield United,0-1,2,A
1949-10-15,Rotherham United,Hartlepool United,5-1,3,H
1949-10-22,Hartlepool United,Carlisle United,1-5,3,A
1949-11-12,Southend United,Torquay United,2-0,3,H
1949-12-03,Manchester United,Newcastle United,1-1,1,D
1950-01-14,West Ham United,Sheffield United,0-0,2,D
1950-01-14,Rotherham United,Carlisle United,1-1,3,D
1950-03-11,Carlisle United,Hartlepool United,2-1,3,H
1950-04-01,Torquay United,Southend United,2-4,3,A
1950-04-15,Hartlepool United,Rotherham United,1-2,3,A
1950-04-22,Newcastle United,Manchester United,2-1,1,H
1950-09-02,Scunthorpe United,Rotherham United,0-0,3,D
1950-09-07,Carlisle United,Hartlepool United,1-0,3,H
1950-09-11,Hartlepool United,Carlisle United,3-3,3,D
1950-09-23,Sheffield United,Leeds United,2-2,2,D
1950-09-23,Carlisle United,Scunthorpe United,3-1,3,H
1950-09-30,West Ham United,Sheffield United,3-5,2,A
1950-09-30,Southend United,Torquay United,3-0,3,H
1950-10-14,Southend United,Colchester United,4-2,3,H
1950-10-28,Scunthorpe United,Hartlepool United,0-0,3,D
1950-11-11,Rotherham United,Hartlepool United,2-1,3,H
1950-12-02,Manchester United,Newcastle United,1-2,1,A
1950-12-25,West Ham United,Leeds United,3-1,2,H
1950-12-26,Leeds United,West Ham United,2-0,2,H
1950-12-30,Rotherham United,Scunthorpe United,4-1,3,H
1951-02-03,Leeds United,Sheffield United,1-0,2,H
1951-02-03,Scunthorpe United,Carlisle United,1-1,3,D
1951-02-17,Sheffield United,West Ham United,1-1,2,D
1951-02-17,Torquay United,Southend United,2-2,3,D
